word,ylabel,rock,jazz,alternative rock,eletronic,pop,total
raining,1,0.272,0.272,0.09,0.181,0.181,11
ramne,2,0.25,0.25,0,0.25,0.25,4
tlfm,3,0.25,0.25,0,0.25,0.25,4
yellow,4,0.263,0.052,0.210,0.263,0.210,19
narcotic,5,0.333,0,0.333,0.333,0,3
